City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,year,month,day_of_week,season,aqi_lag_1,aqi_rolling_3d
Bengaluru,2020-01-01,30.71,70.8,9.03,27.31,26.74,13.01,1.07,8.56,37.39,1.05,36.19,0.18,82.0,Satisfactory,2020,1,2,Winter,97.0,90.0
Bengaluru,2020-01-02,25.78,62.73,8.81,28.05,30.18,12.4,1.16,7.52,33.11,0.95,34.36,0.18,81.0,Satisfactory,2020,1,3,Winter,82.0,90.66666666666667
Bengaluru,2020-01-03,29.66,69.62,6.62,26.26,26.92,12.87,0.99,6.4,32.98,1.06,29.06,0.18,85.0,Satisfactory,2020,1,4,Winter,81.0,86.66666666666667
Bengaluru,2020-01-04,52.62,106.81,15.46,31.56,41.89,14.59,1.39,6.94,37.35,1.5,35.36,0.18,95.0,Satisfactory,2020,1,5,Winter,85.0,82.66666666666667
Bengaluru,2020-01-05,52.64,97.94,6.86,29.1,29.52,15.68,1.01,7.01,45.1,1.19,39.99,0.18,118.0,Moderate,2020,1,6,Winter,95.0,87.0
Bengaluru,2020-01-06,24.74,62.08,8.08,27.57,31.18,13.94,1.09,6.97,25.22,0.69,5.39,0.18,81.0,Satisfactory,2020,1,0,Winter,118.0,99.33333333333333
Bengaluru,2020-01-07,22.52,62.95,10.11,29.93,32.13,11.75,1.06,7.35,28.66,1.03,16.53,0.18,75.0,Satisfactory,2020,1,1,Winter,81.0,98.0
Bengaluru,2020-01-08,30.92,74.18,5.8,30.86,28.53,12.61,1.03,6.61,47.48,0.99,15.86,0.18,93.0,Satisfactory,2020,1,2,Winter,75.0,91.33333333333333
Bengaluru,2020-01-09,40.57,85.93,7.15,33.79,32.74,13.74,1.09,6.01,45.49,0.99,15.04,0.18,101.0,Moderate,2020,1,3,Winter,93.0,83.0
Bengaluru,2020-01-10,39.29,83.02,8.07,36.97,35.92,14.54,1.05,7.71,39.61,0.83,16.79,0.18,94.0,Satisfactory,2020,1,4,Winter,101.0,89.66666666666667
